Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.0891042947769165,9394913804288.0,0.18305343389511108,1e-14,"tensor(51923080., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[25.0000]], device='cuda:0')"
1000,0.00701238913461566,560243867648.0,0.01261482760310173,1e-14,"tensor(32958046., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3939]], device='cuda:0')"
2000,0.006920210085809231,585200697344.0,0.012772217392921448,1e-14,"tensor(32945680., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4118]], device='cuda:0')"
3000,0.0069841984659433365,564152107008.0,0.012625719420611858,1e-14,"tensor(32945278., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4124]], device='cuda:0')"
4000,0.00709528150036931,597028306944.0,0.013065564446151257,1e-14,"tensor(32912338., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4600]], device='cuda:0')"
5000,0.006970908492803574,557479690240.0,0.01254570484161377,1e-14,"tensor(32942126., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4169]], device='cuda:0')"
6000,0.00705689936876297,632228937728.0,0.013379188254475594,1e-14,"tensor(32808790., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6095]], device='cuda:0')"
7000,0.017046870663762093,1515579637760.0,0.032202668488025665,1e-14,"tensor(32579484., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.9407]], device='cuda:0')"
8000,0.007203262764960527,661371944960.0,0.013816982507705688,1e-14,"tensor(32811028., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6063]], device='cuda:0')"
9000,0.007054391782730818,595837255680.0,0.013012764044106007,1e-14,"tensor(32845142., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5570]], device='cuda:0')"
10000,0.007058476097881794,602590674944.0,0.013084382750093937,1e-14,"tensor(32865942., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5270]], device='cuda:0')"
11000,0.007083055563271046,642821390336.0,0.013511269353330135,1e-14,"tensor(32940018., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4200]], device='cuda:0')"
12000,0.007174178492277861,590316044288.0,0.01307733915746212,1e-14,"tensor(32937566., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4235]], device='cuda:0')"
13000,0.00689102103933692,570285228032.0,0.012593872845172882,1e-14,"tensor(32942780., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4160]], device='cuda:0')"
14000,0.07970765233039856,5227931500544.0,0.13198697566986084,1e-14,"tensor(48316760., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.2091]], device='cuda:0')"
15000,0.07865220308303833,928005160960.0,0.08793225139379501,1e-14,"tensor(12671159., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[81.6972]], device='cuda:0')"
16000,0.07605668902397156,234456350720.0,0.07840125262737274,1e-14,"tensor(-9804652., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[114.1623]], device='cuda:0')"
17000,0.052521053701639175,1155060072448.0,0.0640716552734375,1e-14,"tensor(5121392.5000, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[92.6024]], device='cuda:0')"
18000,0.010167215019464493,2834777767936.0,0.03851499408483505,1e-14,"tensor(32670262., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.8096]], device='cuda:0')"
19000,0.008589030243456364,847499100160.0,0.017064020037651062,1e-14,"tensor(32707604., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.7557]], device='cuda:0')"
