Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.3298424780368805,77826032140288.0,1.108102798461914,1e-14
1000,0.00038511137245222926,35474264064.0,0.0007398540037684143,1e-14
2000,6.654993194388226e-05,4492823040.0,0.00011147816258016974,1e-14
3000,1.6602800315013155e-05,2273270528.0,3.933550760848448e-05,1e-14
4000,4.78848596685566e-06,1273926912.0,1.752775460772682e-05,1e-14
5000,2.8532770102174254e-06,810158144.0,1.095485822588671e-05,1e-14
6000,2.344723498026724e-06,575202304.0,8.096746569208335e-06,1e-14
7000,2.527211563574383e-06,435993536.0,6.8871468101860955e-06,1e-14
8000,2.118195880029816e-06,334524864.0,5.4634447224088944e-06,1e-14
9000,2.0729662537632976e-06,295488576.0,5.02785223943647e-06,1e-14
10000,2.1167124941712245e-06,269541504.0,4.812127372133546e-06,1e-14
11000,2.069187303277431e-06,260856752.0,4.677754986914806e-06,1e-14
12000,2.157978769901092e-06,255879088.0,4.716769581136759e-06,1e-14
13000,2.5015306164277717e-06,365616096.0,6.157691586849978e-06,1e-14
14000,2.006290515055298e-06,251413392.0,4.5204242269392125e-06,1e-14
