Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.13931787014007568,22005134917632.0,0.3593692183494568,1e-14,"tensor(51923080., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[25.0000]], device='cuda:0')"
1000,0.007125085219740868,587469881344.0,0.01299978420138359,1e-14,"tensor(32953004., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4012]], device='cuda:0')"
2000,0.007139759138226509,578323415040.0,0.012922992929816246,1e-14,"tensor(32947516., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4091]], device='cuda:0')"
3000,0.07963467389345169,5074294669312.0,0.1303776204586029,1e-14,"tensor(40446684., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[41.5770]], device='cuda:0')"
4000,0.075175940990448,271386083328.0,0.07788980007171631,1e-14,"tensor(-13215180., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[119.0886]], device='cuda:0')"
5000,0.04109882190823555,1854001905664.0,0.059638842940330505,1e-14,"tensor(19041706., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[72.4953]], device='cuda:0')"
6000,0.010044069960713387,774461194240.0,0.017788682132959366,1e-14,"tensor(32737568., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.7124]], device='cuda:0')"
7000,0.008652747608721256,722032132096.0,0.015873068943619728,1e-14,"tensor(32764318., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6738]], device='cuda:0')"
8000,0.007194222882390022,600438013952.0,0.013198602944612503,1e-14,"tensor(32828974., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5804]], device='cuda:0')"
9000,0.007156179752200842,644740808704.0,0.01360358763486147,1e-14,"tensor(32868450., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5233]], device='cuda:0')"
10000,0.007072899024933577,602285867008.0,0.013095756992697716,1e-14,"tensor(32922420., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4454]], device='cuda:0')"
11000,0.007102463394403458,563054116864.0,0.012733004987239838,1e-14,"tensor(32933426., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4295]], device='cuda:0')"
12000,0.007342977449297905,612913840128.0,0.013472115620970726,1e-14,"tensor(32951004., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4041]], device='cuda:0')"
13000,0.007242010440677404,572088975360.0,0.01296290010213852,1e-14,"tensor(32933372., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4296]], device='cuda:0')"
14000,0.007147183176130056,548946018304.0,0.012636642903089523,1e-14,"tensor(32969654., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3772]], device='cuda:0')"
15000,0.007360193412750959,631702945792.0,0.013677222654223442,1e-14,"tensor(32856684., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5403]], device='cuda:0')"
16000,0.007074018009006977,592355262464.0,0.01299757044762373,1e-14,"tensor(32934454., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4280]], device='cuda:0')"
17000,0.007272141519933939,575454904320.0,0.013026690110564232,1e-14,"tensor(32963062., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3867]], device='cuda:0')"
18000,0.007463749498128891,600344428544.0,0.013467193581163883,1e-14,"tensor(32952366., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4021]], device='cuda:0')"
19000,0.007201261352747679,556084953088.0,0.01276211068034172,1e-14,"tensor(32974336., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3704]], device='cuda:0')"
