Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,nan,347586166784000.0,nan,1e-14
1000,nan,4961416511488.0,nan,1e-14
2000,nan,177705156608.0,nan,1e-14
3000,nan,12225199104.0,nan,1e-14
4000,nan,1471142528.0,nan,1e-14
5000,nan,965029632.0,nan,1e-14
6000,nan,126868408.0,nan,1e-14
7000,nan,3275995904.0,nan,1e-14
8000,nan,84511048.0,nan,1e-14
9000,nan,294723744.0,nan,1e-14
10000,nan,3665273600.0,nan,1e-14
11000,nan,737829504.0,nan,1e-14
12000,nan,806311552.0,nan,1e-14
13000,nan,70110336.0,nan,1e-14
14000,nan,30279822.0,nan,1e-14
