Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.1570180356502533,9882678853632.0,0.2558448314666748,1e-14,"tensor(48461536., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.0000]], device='cuda:0')"
1000,0.03488186374306679,774187712512.0,0.04262373968958855,1e-14,"tensor(32842034., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5615]], device='cuda:0')"
2000,0.034798260778188705,774863388672.0,0.042546894401311874,1e-14,"tensor(32869890., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5213]], device='cuda:0')"
3000,0.0348346084356308,772412407808.0,0.042558733373880386,1e-14,"tensor(32870684., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5201]], device='cuda:0')"
4000,0.03480100259184837,768592576512.0,0.04248692840337753,1e-14,"tensor(32851198., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5483]], device='cuda:0')"
5000,0.03475245088338852,768277938176.0,0.04243522882461548,1e-14,"tensor(32865978., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5269]], device='cuda:0')"
6000,0.03476757928729057,817632182272.0,0.04294390231370926,1e-14,"tensor(32828656., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5808]], device='cuda:0')"
7000,0.03480842337012291,812423249920.0,0.0429326556622982,1e-14,"tensor(32863730., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5302]], device='cuda:0')"
8000,0.03487667441368103,764994256896.0,0.042526617646217346,1e-14,"tensor(32870024., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5211]], device='cuda:0')"
9000,0.03482882305979729,842016686080.0,0.043248988687992096,1e-14,"tensor(32843548., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5593]], device='cuda:0')"
10000,0.036830343306064606,1140945715200.0,0.048239801079034805,1e-14,"tensor(32567828., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.9576]], device='cuda:0')"
11000,0.03484967350959778,776306098176.0,0.04261273518204689,1e-14,"tensor(32811204., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6060]], device='cuda:0')"
12000,0.03481496125459671,756957904896.0,0.04238453879952431,1e-14,"tensor(32851916., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5472]], device='cuda:0')"
13000,0.0347224697470665,812259999744.0,0.042845070362091064,1e-14,"tensor(32843428., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5595]], device='cuda:0')"
14000,0.03472018241882324,891464384512.0,0.04363482445478439,1e-14,"tensor(32837424., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5682]], device='cuda:0')"
15000,0.03493904694914818,857378455552.0,0.04351283237338066,1e-14,"tensor(32849684., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5505]], device='cuda:0')"
16000,0.03507525101304054,817814175744.0,0.04325339198112488,1e-14,"tensor(32838380., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5668]], device='cuda:0')"
17000,0.03546677902340889,1016524111872.0,0.0456320196390152,1e-14,"tensor(32701004., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.7652]], device='cuda:0')"
18000,0.03484595939517021,752567451648.0,0.042371634393930435,1e-14,"tensor(32862032., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5326]], device='cuda:0')"
19000,0.03476013243198395,782072086528.0,0.04258085414767265,1e-14,"tensor(32875180., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5136]], device='cuda:0')"
